db3 name,content,do not key
d_62308.IDX.023_43290879-Massachusetts-083985.db3,57,967
d_62308.IDX.023_43290879-Massachusetts-109792.db3,57,944
d_62308.IDX.023_43290879-Massachusetts-120677.db3,46,958
d_62308.IDX.023_43290879-Michigan-131387.db3,517,548
d_62308.IDX.023_43290879-Michigan-131642.db3,241,782
d_62308.IDX.023_43290879-Pennsylvania-189496.db3,41,990
d_62308.IDX.023_43290879-Pennsylvania-234172.db3,39,975
d_62308.IDX.023_43290879-Utah-010863.db3,2,24
d_62308.IDX.023_43290879-Utah-010869.db3,2,38
d_62308.IDX.023_43290879-Utah-010870.db3,2,28
d_62308.IDX.023_43290879-Utah-010880.db3,3,32
d_62308.IDX.023_43290879-Utah-010881.db3,2,19
d_62308.IDX.023_43290879-Utah-010885.db3,2,19
d_62308.IDX.023_43290879-Utah-010889.db3,2,35
d_62308.IDX.023_43290879-Utah-010895.db3,2,13
d_62308.IDX.023_43290879-Utah-010902.db3,2,11
d_62308.IDX.023_43290879-Utah-010917.db3,2,19
d_62308.IDX.023_43290879-Utah-010918.db3,2,17
d_62308.IDX.023_43290879-Utah-010921.db3,2,2
d_62308.IDX.023_43290879-Utah-010943.db3,2,27
