Date,AQI
2018/1/1,57
2018/1/2,50
2018/1/3,28
2018/1/4,40
2018/1/5,63
2018/1/6,48
2018/1/7,54
2018/1/8,55
2018/1/9,35
2018/1/10,32
2018/1/11,32
2018/1/12,87
2018/1/13,139
2018/1/14,176
2018/1/15,59
2018/1/16,114
2018/1/17,77
2018/1/18,93
2018/1/19,108
2018/1/20,63
2018/1/21,64
2018/1/22,47
2018/1/23,32
2018/1/24,35
2018/1/25,33
2018/1/26,53
2018/1/27,112
2018/1/28,59
2018/1/29,56
2018/1/30,36
2018/1/31,62
2018/2/1,68
2018/2/2,34
2018/2/3,32
2018/2/4,40
2018/2/5,34
2018/2/6,65
2018/2/7,51
2018/2/8,73
2018/2/9,80
2018/2/10,44
2018/2/11,67
2018/2/12,53
2018/2/13,79
2018/2/14,37
2018/2/15,73
2018/2/16,107
2018/2/17,109
2018/2/18,152
2018/2/19,188
2018/2/20,63
2018/2/21,48
2018/2/22,45
2018/2/23,52
2018/2/24,62
2018/2/25,82
2018/2/26,162
2018/2/27,218
2018/2/28,115
2018/3/1,50
2018/3/2,103
2018/3/3,215
2018/3/4,124
2018/3/5,90
2018/3/6,64
2018/3/7,65
2018/3/8,61
2018/3/9,135
2018/3/10,153
2018/3/11,84
2018/3/12,189
2018/3/13,283
2018/3/14,276
2018/3/15,61
2018/3/16,55
2018/3/17,83
2018/3/18,135
2018/3/19,93
2018/3/20,40
2018/3/21,79
2018/3/22,110
2018/3/23,138
2018/3/24,117
2018/3/25,74
2018/3/26,150
2018/3/27,233
2018/3/28,0
2018/3/29,107
2018/3/30,66
2018/3/31,128
2018/4/1,213
2018/4/2,256
2018/4/3,69
2018/4/4,39
2018/4/5,73
2018/4/6,59
2018/4/7,47
2018/4/8,66
2018/4/9,108
2018/4/10,80
2018/4/11,54
2018/4/12,76
2018/4/13,63
2018/4/14,113
2018/4/15,64
2018/4/16,101
2018/4/17,126
2018/4/18,133
2018/4/19,147
2018/4/20,150
2018/4/21,85
2018/4/22,36
2018/4/23,49
2018/4/24,56
2018/4/25,77
2018/4/26,113
2018/4/27,107
2018/4/28,133
2018/4/29,176
2018/4/30,60
2018/5/1,111
2018/5/2,46
2018/5/3,50
2018/5/4,100
2018/5/5,0
2018/5/6,112
2018/5/7,92
2018/5/8,81
2018/5/9,106
2018/5/10,130
2018/5/11,100
2018/5/12,169
2018/5/13,105
2018/5/14,158
2018/5/15,83
2018/5/16,138
2018/5/17,54
2018/5/18,84
2018/5/19,97
2018/5/20,54
2018/5/21,79
2018/5/22,96
2018/5/23,130
2018/5/24,135
2018/5/25,144
2018/5/26,0
2018/5/27,83
2018/5/28,0
2018/5/29,55
2018/5/30,85
2018/5/31,137
2018/6/1,114
2018/6/2,178
2018/6/3,81
2018/6/4,93
2018/6/5,147
2018/6/6,158
2018/6/7,84
2018/6/8,80
2018/6/9,49
2018/6/10,95
2018/6/11,89
2018/6/12,125
2018/6/13,59
2018/6/14,111
2018/6/15,120
2018/6/16,126
2018/6/17,87
2018/6/18,131
2018/6/19,104
2018/6/20,86
2018/6/21,142
2018/6/22,89
2018/6/23,190
2018/6/24,164
2018/6/25,111
2018/6/26,144
2018/6/27,44
2018/6/28,59
2018/6/29,95
2018/6/30,165
2018/7/1,107
2018/7/2,96
2018/7/3,109
2018/7/4,152
2018/7/5,156
2018/7/6,150
2018/7/7,65
2018/7/8,98
2018/7/9,93
2018/7/10,46
2018/7/11,40
2018/7/12,43
2018/7/13,55
2018/7/14,99
2018/7/15,103
2018/7/16,33
2018/7/17,32
2018/7/18,99
2018/7/19,84
2018/7/20,95
2018/7/21,116
2018/7/22,55
2018/7/23,89
2018/7/24,28
2018/7/25,48
2018/7/26,85
2018/7/27,83
2018/7/28,114
2018/7/29,130
2018/7/30,126
2018/7/31,145
2018/8/1,149
2018/8/2,135
2018/8/3,120
2018/8/4,152
2018/8/5,73
2018/8/6,46
2018/8/7,78
2018/8/8,38
2018/8/9,95
2018/8/10,135
2018/8/11,76
2018/8/12,68
2018/8/13,76
2018/8/14,35
2018/8/15,45
2018/8/16,81
2018/8/17,137
2018/8/18,45
2018/8/19,38
2018/8/20,78
2018/8/21,51
2018/8/22,54
2018/8/23,68
2018/8/24,54
2018/8/25,121
2018/8/26,125
2018/8/27,124
2018/8/28,92
2018/8/29,53
2018/8/30,39
2018/8/31,86
2018/9/1,88
2018/9/2,67
2018/9/3,42
2018/9/4,43
2018/9/5,62
2018/9/6,35
2018/9/7,34
2018/9/8,42
2018/9/9,75
2018/9/10,75
2018/9/11,80
2018/9/12,103
2018/9/13,110
2018/9/14,132
2018/9/15,30
2018/9/16,42
2018/9/17,52
2018/9/18,63
2018/9/19,74
2018/9/20,64
2018/9/21,45
2018/9/22,34
2018/9/23,30
2018/9/24,36
2018/9/25,48
2018/9/26,54
2018/9/27,89
2018/9/28,75
2018/9/29,32
2018/9/30,30
2018/10/1,40
2018/10/2,44
2018/10/3,53
2018/10/4,74
2018/10/5,109
2018/10/6,33
2018/10/7,49
2018/10/8,42
2018/10/9,26
2018/10/10,33
2018/10/11,47
2018/10/12,73
2018/10/13,113
2018/10/14,189
2018/10/15,203
2018/10/16,83
2018/10/17,53
2018/10/18,67
2018/10/19,73
2018/10/20,88
2018/10/21,152
2018/10/22,158
2018/10/23,45
2018/10/24,85
2018/10/25,112
2018/10/26,45
2018/10/27,33
2018/10/28,36
2018/10/29,31
2018/10/30,49
2018/10/31,62
2018/11/1,80
2018/11/2,152
2018/11/3,211
2018/11/4,102
2018/11/5,47
2018/11/6,50
2018/11/7,65
2018/11/8,94
2018/11/9,54
2018/11/10,50
2018/11/11,72
2018/11/12,132
2018/11/13,230
2018/11/14,270
2018/11/15,84
2018/11/16,39
2018/11/17,78
2018/11/18,64
2018/11/19,83
2018/11/20,69
2018/11/21,49
2018/11/22,68
2018/11/23,93
2018/11/24,123
2018/11/25,119
2018/11/26,266
2018/11/27,163
2018/11/28,116
2018/11/29,101
2018/11/30,123
2018/12/1,175
2018/12/2,232
2018/12/3,0
2018/12/4,61
2018/12/5,77
2018/12/6,37
2018/12/7,38
2018/12/8,36
2018/12/9,73
2018/12/10,83
2018/12/11,52
2018/12/12,73
2018/12/13,49
2018/12/14,83
2018/12/15,120
2018/12/16,88
2018/12/17,57
2018/12/18,67
2018/12/19,78
2018/12/20,93
2018/12/21,94
2018/12/22,66
2018/12/23,52
2018/12/24,78
2018/12/25,58
2018/12/26,33
2018/12/27,51
2018/12/28,39
2018/12/29,33
2018/12/30,47
2018/12/31,70
